공공기관,교육,금융/재테크,디자인 ,라이프스타일,미디어,법률,비영리단체,스타트업,시사,영화제,음악,출판,커뮤니티/회사,패션,푸드,IT,비즈니스,예술,에세이,여행,환경 
공공보건포털 G-health https://www.g-health.kr/portal/eventForm.do?eid=01,,"디센터 https://docs.google.com/forms/d/e/1FAIpQLSeyuIRpTwvunCDKiNRugBLM9PztJ-AZmmJe1KJ_thrAe7emDw/viewform , 탈중앙화 시대로 가기 위한 모든 정보가 흐르는 뉴스 허브",,,"대학내일 https://univ20.com/97161 , 밀레니얼 + Z세대에 관심 있는 분들을 위한 뉴스레터입니다.",,"지구촌나눔운동 http://www.gcs.or.kr/gcs/load.asp?subPage=332 , 지구촌 가난한 이웃의 자립을 돕고 지속가능한 발전을 실현합니다.",,"썸원 https://page.stibee.com/subscriptions/50103 , 일주일 간 읽고 보는 것들 중에서 괜찮은 것들을 골라 주말에 뉴스레터로 공유해드립니다 :) ",,,,,,,"테크니들 https://techneedle.com/newsletter , 글로벌 테크 소식을 인사이트와 함께 전달합니다.",,,,,
국세청 https://www.nts.go.kr/ems/newsletter_join.asp,,국세청 https://www.nts.go.kr/ems/newsletter_join.asp,,,"xyzorba https://page.stibee.com/subscriptions/33439 , 매주 월요일과 목요일, 제가 쓰고 읽고 본 콘텐츠를 메일로 전해줄게요.",,"녹색연합 http://www.greenkorea.org/ , 사람과 자연이 공존하는 세상, 당신과 함께 만들어갑니다.",,"모야 https://www.wisetranslate.net/moya/global_news/newsletter#subscription , MoYa 뉴스레터는 놓쳐선 안 될 세계 주요 뉴스를 인공지능으로 요약한 후 전문 번역사가 정확하게 번역해서 매일 보내드립니다.",,,,,,,"블로터 http://www.bloter.net/ , 블로터는 블로터들이 만드는 디지털 전문 미디어 입니다.",,,,,
한국조세재정연구원 https://www.kipf.re.kr/kor/About/About_NewsLetter/kiNewsLetteraApp/write.do ,,,,,"슬로워크 오렌지레터 https://slowalk.co.kr/orangeletter/ , 오렌지레터, 이거 하나만 보세요! 한 주간 당신이 혹시 놓쳤을지 모르는 소셜섹터 이슈",,"동물권단체 케어 https://fromcare.org/ , 한 눈에 살펴보는 케어 소식",,"폴인 https://stibee.com/api/v1.0/emails/share/b5va9WfnrXfTykb5pG2AulxlWYtTjg==  , 나의 내일을 위한 지식 플랫폼, 폴인 뉴스레터를 구독하세요!",,,,,,,삼성전기 https://www.samsungsem.com/kr/newsroom/newsletter/subscription.do,,,,,
,,,,,"디독 https://page.stibee.com/subscriptions/31254 , 해외 디자인 아티클 번역 뉴스레터, 읽는 디자인 디독",,"피다 http://pida.or.kr/ , 지구촌의 모든 구성원이 차별받거나 소외되지 않고 정의와 평등을 추구할 수 있는 정치·경제·사회·문화적 발전을 추구합니다.",,"nuzzel https://nuzzel.com/newsletters/featured , Nuzzel provides industry news and media intelligence to busy professionals.",,,,,,,"AMD https://www.amd.com/ko/corporate/subscriptions , 새로운 AMD 제품 정보를 받아 보세요. 추가로 최신 소식, 개발 및 회사 정보도 확인하실 수 있습니다.",,,,,
,,,,,"희망제작소 이슈 솎아보기 https://page.stibee.com/subscriptions/52122 , 시민과 함께 사회혁신을 실천하는 THINK & DO TANK",,"할모니레터 https://page.stibee.com/subscriptions/51239 , 할머니와 함께 만드는 아름다운 화음, 할모니레터",,"The Miilk https://docs.google.com/forms/d/e/1FAIpQLScOAY62JVZMdZ1GEEA6jbfqHKG8k3kiAtI4-brIBE-dBc1wiQ/viewform , 미 실리콘밸리 현장에서 혁신 아이디어와 가치 있는 정보를 신선한 우유처럼 구독자 분들께 배달해드립니다.",,,,,,,"Two Cents https://hur.substack.com/ , 테크, 스타트업, VC 분야의 흐름에 대하여 읽고 생각하고 이해하는 것들을 공유하고자 합니다.",,,,,
,,,,,서울독립영화제 http://www.siff.kr/siff/ ,,"donus https://donus.org/newsletter , 오늘날의 모금 전문가에게 꼭 필요한 지식을 받아보세요.",,"뉴스 다이제스트 https://news.joins.com/newsletter , 국내외 정치, 경제, 사회, 문화, 스포츠 등 다양한 분야의 중요 이슈를 선별 취재해 독자에게 제공합니다.",,,,,,,SK하이닉스 뉴스룸 http://skhynixnews.cafe24.com/,,,,,
,,,,,힙합엘이 http://hiphople.com/newsletter,,"아름다운재단 https://beautifulfund.org/newsletter/ , 세상을 바꾸는 작은 변화",,"tim ferris https://go.tim.blog/5-bullet-friday-1/ , Get the 5 Things I've Been Loving, Using, and Reading: Books, Gadgets, Hacks, and More.",,,,,,,,,,,,
,,,,,"북저널리즘 https://www.bookjournalism.com/?gclid=Cj0KCQjwvIT5BRCqARIsAAwwD-QbRVMfK41cYWbDNmSu2A4W_0LWJSwK9-0tNVz9ATAxejug5QdzFx0aAv4xEALw_wcB , 젊은 혁신가를 위한 콘텐츠 구독 서비스",,,,밀레니얼 실험실 https://news.joins.com/newsletter ,,,,,,,,,,,,
,,,,,"앨리스미디어 https://www.alicemedia.co/ , 앨리스Alice는 함께 보면 재미있는 이슈를 공유하는 위클리 뉴스레터 서비스입니다.",,,,,,,,,,,,,,,,
,,,,,"어거스트 https://page.stibee.com/subscriptions/51479 , 미디어 뉴스레터 어거스트",,,,,,,,,,,,,,,,
,,,,,"리딩리딩 https://www.rglg.co.kr/?fbclid=IwAR18Jo1mlv0ayvIoPACjq50OyTTMa53RYjjLjQaZeAYqWAc6AI1JtGAVrAs , 북큐레이션 월 정기구독 서비스~ 쏟아지는 신간 홍수 속에 선택장애, 구매실패는 이제그만! 리딩리딩은 좋은 책을 소개하고 좋은 사람들을 이어줍니다",,,,,,,,,,,,,,,,
,,,,,"마부작침 https://page.stibee.com/subscriptions/56136 , 당신의 일상에 엣지를 더해주는 마부작침 탐정사무소 뉴스레터 지금 구독해주세요.",,,,,,,,,,,,,,,,
,,,,,"뭐라노 http://www.kookje.co.kr/contents/ , 평소에 기사 읽기 너무 힘들지 않나요? '뭐라노'는 이런 분들을 위해 탄생했습니다.",,,,,,,,,,,,,,,,
,,,,,think with google https://getsubscriptions.withgoogle.com/intl/ko-kr/newsletter/signup/landing/?slug=thinkwithgoogle&_ga=2.255570828.589177472.1596090824-754244872.1596090824,,,,,,,,,,,,,,,,
,,,,,"i hate monday https://docs.google.com/forms/d/e/1FAIpQLSe7fXJ4yYTP53SYp92j9ueHD-IUdb2yQ5cGGuE50i1oRPT6aw/viewform , 수 많은 마케팅 트렌드 직접 찾아보기 번거롭다면, 월요일에 찾아오는 오픈애즈 컨텐츠 뉴스레터 'I hate monday'를 구독해보세요.",,,,,,,,,,,,,,,,
,,,,,"오픈애즈 https://docs.google.com/forms/d/e/1FAIpQLSe7fXJ4yYTP53SYp92j9ueHD-IUdb2yQ5cGGuE50i1oRPT6aw/viewform , 마케터의 상황과 경험을 바탕으로 마케팅 운영에 꼭 필요한 정보를 보내드려요 :D",,,,,,,,,,,,,,,,
,,,,,"생각노트 https://insidestory.kr/tag/%EB%89%B4%EC%8A%A4%EB%A0%88%ED%84%B0 , 의미있는 브랜드&트렌드 소식을 전해드립니다!",,,,,,,,,,,,,,,,
,,,,,"수스슈스 https://page.stibee.com/subscriptions/32978 , 마구마구 주고받던 자극과 영감을 우리끼리 간직하기 아쉬워서",,,,,,,,,,,,,,,,
,,,,,youtube re:view https://getsubscriptions.withgoogle.com/newsletter/signup/landing/?slug=youtubereview,,,,,,,,,,,,,,,,
,,,,,"매콤달콤 https://member.mk.co.kr/newsletter/info.php, 매일경제 지식레터 ‘매세지(매경이 전하는 세상의 지식)’를 기본으로 매일매일 다른 주제의 깊이 있는 주요 기사를 선별하여 전달합니다.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,,,,
