,title,link
0,8월의 이야기가 있는 #동네책방문화사랑방,https://mailchi.mp/5556db35d5aa/efyfjvpj8a-3403346
1,"책방의 즐거운 상상, 세가방에서 실현하세요.",https://mailchi.mp/e8c20a3b07c8/efyfjvpj8a-3403338
2,#안녕하세요오늘의동네서점 전국구매처,https://mailchi.mp/e6afa7ecfc22/efyfjvpj8a-3403330?e=4fad50bada
3,우리와 어울리는 영화를 찾아서 #조은이책,https://mailchi.mp/f7ce484bb6d2/efyfjvpj8a-3403326
4,"마음을 가까이, 7월의 #동네책방문화사랑방",https://mailchi.mp/bb8ad977f7c4/efyfjvpj8a-3403322
5,"오직 동네서점에서만, #안녕하세요오늘의동네서점",https://mailchi.mp/bdfde22c4674/efyfjvpj8a-3403318
6,#동네서점지도제주 포스터 무료배포처,https://mailchi.mp/2a13b81ac621/efyfjvpj8a-3403314
7,18명의 책방지기에게 독립서점의 오늘을 묻다.,https://mailchi.mp/eb40d2793295/efyfjvpj8a-3403310
8,2020(2Q) 독립서점 현황조사 – 규모화되는 동네서점,https://mailchi.mp/e80d861ddd5f/efyfjvpj8a-3403306
